rootsid,Outflows,Inflows,Netflow_Ratio,Year,Period
101,4130.0,3347.0,-0.1,1850,1850 - 1859
102,68.0,85.0,0.11,1850,1850 - 1859
104,26.0,52.0,0.33,1850,1850 - 1859
105,2382.0,5082.0,0.36,1850,1850 - 1859
106,531.0,1965.0,0.57,1850,1850 - 1859
107,100.0,160.0,0.23,1850,1850 - 1859
109,677.0,496.0,-0.15,1850,1850 - 1859
110,284.0,273.0,-0.02,1850,1850 - 1859
111,116.0,136.0,0.08,1850,1850 - 1859
112,466.0,825.0,0.28,1850,1850 - 1859
113,4274.0,2217.0,-0.32,1850,1850 - 1859
115,6.0,8.0,0.14,1850,1850 - 1859
116,58.0,90.0,0.22,1850,1850 - 1859
117,7303.0,10764.0,0.19,1850,1850 - 1859
118,8149.0,6641.0,-0.1,1850,1850 - 1859
119,4795.0,10821.0,0.39,1850,1850 - 1859
120,469.0,2109.0,0.64,1850,1850 - 1859
121,5090.0,3508.0,-0.18,1850,1850 - 1859
122,1051.0,1460.0,0.16,1850,1850 - 1859
123,646.0,468.0,-0.16,1850,1850 - 1859
124,732.0,508.0,-0.18,1850,1850 - 1859
125,1430.0,1064.0,-0.15,1850,1850 - 1859
126,1392.0,3606.0,0.44,1850,1850 - 1859
127,344.0,2335.0,0.74,1850,1850 - 1859
128,2872.0,2277.0,-0.12,1850,1850 - 1859
129,5536.0,9334.0,0.26,1850,1850 - 1859
130,70.0,107.0,0.21,1850,1850 - 1859
131,299.0,701.0,0.4,1850,1850 - 1859
132,75.0,84.0,0.06,1850,1850 - 1859
133,533.0,447.0,-0.09,1850,1850 - 1859
134,780.0,665.0,-0.08,1850,1850 - 1859
135,49.0,61.0,0.11,1850,1850 - 1859
136,5952.0,3100.0,-0.32,1850,1850 - 1859
137,2434.0,1291.0,-0.31,1850,1850 - 1859
138,15.0,37.0,0.42,1850,1850 - 1859
139,11518.0,5288.0,-0.37,1850,1850 - 1859
140,159.0,268.0,0.26,1850,1850 - 1859
141,301.0,1157.0,0.59,1850,1850 - 1859
142,4963.0,2765.0,-0.28,1850,1850 - 1859
143,12.0,12.0,0.0,1850,1850 - 1859
144,247.0,236.0,-0.02,1850,1850 - 1859
145,1496.0,623.0,-0.41,1850,1850 - 1859
146,18.0,36.0,0.33,1850,1850 - 1859
147,7395.0,3229.0,-0.39,1850,1850 - 1859
148,1511.0,6562.0,0.63,1850,1850 - 1859
149,0.0,1.0,1.0,1850,1850 - 1859
150,488.0,2569.0,0.68,1850,1850 - 1859
151,891.0,625.0,-0.18,1850,1850 - 1859
152,6486.0,4470.0,-0.18,1850,1850 - 1859
153,146.0,310.0,0.36,1850,1850 - 1859
154,3580.0,4321.0,0.09,1850,1850 - 1859
155,1885.0,4827.0,0.44,1850,1850 - 1859
156,103.0,104.0,0.0,1850,1850 - 1859
157,7.0,11.0,0.22,1850,1850 - 1859
158,17.0,34.0,0.33,1850,1850 - 1859
